name,original_price,special_price,specification,description,original_fragrance,top_notes,middle_notes,base_notes,detail_url,gender,fragrance,brand,ml,discount_rate,price_per_ml
Paco Rabanne Ultraviolet 紫外线男性淡香水 TESTER,3690.0,1450.0,100ml,身为香草控的我偶然间注意到这款香水就盲买了，而香根草和香草的组合更是让我著迷不已！开头的琥珀一点点的酸，给人一种自燃散发的男性魅力，不温不火，香根草的木质调中和了胡椒辛辣和香草的甜，因此穿上他才不会给人感觉很呛辣、很甜或者俨然是会走动的一根木头，总之就是一整个很闷骚内敛的低调男性魅力香。有一次我穿著紫外线上班时，同事经过我身边说：「怎么有一种在逛专柜会闻到的味道」。,草香清新调,琥珀、薄荷,香根草、胡椒、辛辣调,苔藓、香草,https://www.1976.com.tw/prod/23085,male,清新调,Paco Rabanne Ultraviolet,100.0,60.7,14.5
YSL MYSLF 男性淡香精行动香氛,1200.0,800.0,10ml 喷式,虽然被归类为木质香，却谨慎的填入了花草香。初味的佛手柑稍微有点刺鼻，但中段的橙花味闻起来像晨露般清甜淡雅不会过分浮夸。进后味的时候橙花跟龙涎香/广藿香转换的很精致，维持了优雅的气质。整体持香跟阔香都还算不错，觉得喜欢。,木质花香调,佛手柑,橙花,龙涎香、广藿香,https://www.1976.com.tw/prod/23067,male,木质调,YSL,10.0,33.33,80.0
Paco Rabanne Million Gold Elixir 百万黄金男性香精迷你瓶,800.0,480.0,5ml,金光闪闪的金条造型瓶身，承袭百万系列男香奢华风格之外，更加浓郁的「报复性」极致诱惑要你加倍自信，强势回归！,木质东方调,柑橘,香草,檀香,https://www.1976.com.tw/prod/23063,male,木质调,Paco Rabanne Million Gold Elixir,5.0,40.0,96.0
Acqua di Parma Colonia Essenza 克罗尼亚黑调男性古龙水迷你瓶,1200.0,699.0,5ml,柑橘和苦橙叶增加了新鲜度。中味迷迭香交融玫瑰、茉莉和铃兰花香细腻的芳香，加上一丝丁香。后味由广藿香的丰富、白麝香和琥珀的温暖，充满活力的木质基调带来完美的男人味。,木质调,柠檬、佛手柑、葡萄柚、柑橘、苦橙叶,迷迭香、玫瑰、茉莉、铃兰花、丁香,广藿香、木质、白麝香、琥珀,https://www.1976.com.tw/prod/22991,male,木质调,Acqua di Parma,5.0,41.75,139.8
Ormonde Jayne 同名男性香精,9590.0,5780.0,88ml,全新 Parfum StrengthOrmonde Man 香水，尽管成分标新立异，却依然是极为精致的香水。这款香水复杂而富有个性，撩人而神秘，散发著柔和的木质香调，但真正让它与众不同的是沉香油——自古以来世界上最珍贵的香精——的注入，使其香气提升到真正的卓越境界。,木质调,杜松子、佛手柑、粉红胡椒、小荳蔻、香菜籽,沉香、黑铁杉,香根草、雪松、檀香、麝香,https://www.1976.com.tw/prod/22982,male,木质调,Ormonde Jayne,88.0,39.73,65.68
Prada Luna Rossa Ocean 卓越海洋男性淡香水迷你瓶,1200.0,450.0,9ml,陆剧《长相思》《滤镜》艺人檀健次爱用香水，海洋的清新味道，加上佛手柑、鸢尾花、香根草，海洋与草原结合的感觉！,东方清新调,佛手柑、粉红胡椒、艾蒿,薰衣草、鸢尾花、鼠尾草、绒面革、藏红花,麝香、海地香根草、广藿香、焦糖,https://www.1976.com.tw/prod/22970,male,清新调,Prada,9.0,62.5,50.0
YSL Y Le Parfum 男性香精 (2025) 迷你瓶,1200.0,690.0,7.5ml 抹式,刚开出是苹果香的甜香混合著姜的清新，十分宜人，到了中调甜味散去，是一股十分中性的花香，后调是非常温柔的气息。我觉得这支男女皆宜，更是一款百搭香水，穿上它会给人生活很有质感、自信又好亲近的感觉，很惊艳，大推~,东方调,生姜、白醛香,夜松、乳香,晚香玉、冷杉,https://www.1976.com.tw/prod/22959,male,东方调,YSL,7.5,42.5,92.0
Roberto Cavalli Uomo 男性淡香水(2023),2890.0,1450.0,100ml,这是一款在味道及包装设计上，都展现深思熟虑的作品，香水1976独家引进，强力推荐给不甘于平凡的你。,木质调,小荳蔻、黑胡椒,琥珀、桂花,焚香、乳香、零陵香豆,https://www.1976.com.tw/prod/22923,male,木质调,Roberto Cavalli Uomo,100.0,49.83,14.5
Viktor & Rolf Spicebomb Dark Leather 激情炸弹暗色皮革淡香精,3680.0,2350.0,50ml,浓郁诱人的香草中带有辛辣的黑胡椒，但除了香草味我确实有闻到一点点皮革的味道让这只更加性感，绝对会是一只让人注意到你的个性签名香,木质调,黑胡椒、肉荳蔻,肉桂、乳香,黑色皮革、烟草,https://www.1976.com.tw/prod/22888,male,木质调,Viktor & Rolf,50.0,36.14,47.0
Valentino Uomo Born In Roma Coral Fantasy 订制罗马珊瑚幻想男性淡香水,4600.0,3480.0,100ml,Valentino 2022年推出Born In Roma Coral Fanstsy 订制罗马珊瑚幻想，灵感来自罗马街头这个魔幻时刻的能量。,东方调,红苹果、小荳蔻、佛手柑,薰衣草、天竺葵、快乐鼠尾草,烟草叶、广藿香、香根草,https://www.1976.com.tw/prod/22887,male,东方调,Valentino,100.0,24.35,34.8
Valentino Born In Roma Green Stravaganza 订制罗马绿色奢华男性淡香水,3400.0,2380.0,50ml,浓郁的凤梨配上清爽的姜饼和一些香草，推荐给喜欢美食调的男性。,柑苔调,佛手柑,咖啡,香根草,https://www.1976.com.tw/prod/22867,male,柑橘调,Valentino,50.0,30.0,47.6
Baldessarini Uomo Mare 乌墨湛蓝男性淡香水,1900.0,1180.0,50ml,香气由清新的海岸风开始，逐渐转变为温暖、辛辣和木质混合，展现出难以抗拒的男性魅力。瓶身设计简约，以深蓝色为主色调，从视觉上概括了其阳刚气质——稳重、真诚、诱人。,柑苔调,佛手柑、盐晶、莱姆,海洋、薰衣草、天竺葵,雪松、苔藓、檀香,https://www.1976.com.tw/prod/22839,male,柑橘调,Baldessarini Uomo Mare,50.0,37.89,23.6
Paco Rabanne Invictus Victory Elixir Parfum Intense 勇者胜利灵药男性香精,4980.0,3480.0,100ml,一种将胜利推向极限的强效灵丹妙药。是时候拥抱你的不朽时刻了。,东方调,薰衣草、小荳蔻、黑胡椒,薰香、广藿香,香草荚、零陵香豆,https://www.1976.com.tw/prod/22806,male,东方调,Paco Rabanne Invictus Victory Elixir Parfum Intense,100.0,30.12,34.8
Vince Camuto Homme Intenso 文斯卡穆托馥郁男性淡香精,3180.0,1580.0,100ml,一开始的味道十分强烈，就像一个极具野心的大男人正准备狩猎一般，强而猛烈，中味沉香逐渐转为内敛，最后用稳重的檀香和皮革味道收尾，香味很持久，是一款木质味道偏重、适合成熟的男性使用！,木质调,海藻、瓜尔酮、青柑橘、佛手柑、姜、艾蒿,蓝柏、水茉莉、薰衣草、扁豆、迷迭香,麝香、橡苔、广藿香、肉桂皮,https://www.1976.com.tw/prod/22804,male,木质调,Vince Camuto Homme Intenso,100.0,50.31,15.8
Paco Rabanne 1 Million Royal 百万皇家男性香精 TESTER,4800.0,2499.0,100ml 原厂环保纸盒包装，内容与正品相同,充满活力的薰衣草、充满活力的雪松和感性的安息香以意想不到的方式混合在一起，让传奇重生，打造出一款与您一样叛逆的香水。,木质东方调,柑橘、佛手柑、小荳蔻,紫罗兰叶、薰衣草、鼠尾草,安息香、雪松、广藿香,https://www.1976.com.tw/prod/22802,male,木质调,Paco Rabanne,100.0,47.94,24.99
Joop Homme Absolute 男性淡香精,3730.0,1650.0,120ml,瓶身的设计是墨黑色的半边圆柱型玻璃瓶身，圆弧形的设计让男人一手掌握，挡不住浓郁且充满原创性的自我气息！Joop Homme Absolute 男性淡香精，献给你举手投足的男子气概!!,东方调,黑胡椒,依兰依兰,焚香、零陵香豆、香根草,https://www.1976.com.tw/prod/22801,male,东方调,Joop Homme Absolute,120.0,55.76,13.75
Paco Rabanne 1 Million Royal 百万皇家男性香精,4800.0,2999.0,100ml,充满活力的薰衣草、充满活力的雪松和感性的安息香以意想不到的方式混合在一起，让传奇重生，打造出一款与您一样叛逆的香水。,木质东方调,柑橘、佛手柑、小荳蔻,紫罗兰叶、薰衣草、鼠尾草,安息香、雪松、广藿香,https://www.1976.com.tw/prod/22580,male,木质调,Paco Rabanne,100.0,37.52,29.99
Adidas Energy Drive 爱迪达率性淡香精-能量驱动,1000.0,699.0,100ml(蓝盒),运动香水第一品牌，Adidas推出Adidas Energy Drive 爱迪达率性淡香精-能量驱动，充满能量、动感的气息，让您运动时充满自信！,柑橘调,佛手柑、粉红胡椒,小荳蔻、快乐鼠尾草,香根草、麝香,https://www.1976.com.tw/prod/22575,male,柑橘调,Adidas Energy Drive,100.0,30.1,6.99
Yardley Equity 清爽平衡男性淡香水,850.0,650.0,100ml,Yardley 的 Equity 清爽平衡男性淡香水是一款集清新与舒适于一体的迷人香水。这款香水为使用者带来舒适的活力，佛手柑的清新香味和持久的木质麝香组合可持续一整天。,木质清新调,柑橘、佛手柑,海洋调、紫罗兰、茉莉,琥珀、香草、檀香,https://www.1976.com.tw/prod/22530,male,清新调,Yardley Equity,100.0,23.53,6.5
Yardley Sport 运动风男性淡香水,850.0,650.0,100ml,Yardley Sport 是一款奢华而独特的香水，能够增强绅士的自由精神。这款木质芳香香水俱有和谐的混合，前调充满活力，有佛手柑和薰衣草的味道，中调富含晶莹剔透的海洋香调和广藿香，基调为麝香和琥珀。,木质清新调,柠檬、薰衣草、佛手柑,海洋调、广藿香、雪松,麝香、琥珀、橡木苔,https://www.1976.com.tw/prod/22529,male,清新调,Yardley Sport,100.0,23.53,6.5
YSL Y Elixir 极致版男性淡香精,5450.0,3800.0,60ml,捕捉激动与肾上腺素的舞台快感的香味,东方清新调,薰衣草,天竺葵,乳香、沈香,https://www.1976.com.tw/prod/22313,male,清新调,YSL,60.0,30.28,63.33
CREED Erolfa 艾洛法男性淡香精,11800.0,8260.0,100ml,CREED Erolfa 艾洛法男性淡香精，让人联想到地中海的航海之旅，Erolfa 在这款草本辛辣的标志性香水中捕捉到了波光粼粼的海水、咸咸的空气和柑橘香味的微风。,柑苔调,柠檬、柑橘、罗勒、香柠檬、姜,紫罗兰、鲜花、薰衣草、芫荽、西瓜、小黄瓜、茉莉,檀香、麝香、雪松,https://www.1976.com.tw/prod/14746,male,柑橘调,,100.0,30.0,82.6
Bvlgari Le Gemme Falkar 宝格丽菁瑛宝石男性淡香精,16075.0,8850.0,100ml,Bvlgari Le Gemme Falkar 散发十分深沉的香气，神秘而浓郁，留下丰富而独特的余韵。沉香木精华的浓郁气息融入深沉而木质黑麝香的馥郁香气，捕捉鹰眼石的雄伟气质。,木质东方调,肉荳蔻、肉桂,纸莎草、乳香,沉香、黑麝香、藏红花,https://www.1976.com.tw/prod/23022,male,木质调,Bvlgari,100.0,44.95,88.5
Bvlgari Le Gemme Empyr 宝格丽光熠宝石男性淡香精,16075.0,8850.0,100ml,气味组成并不复杂，但很有深度，开初些许的辛香感，接著就带出檀木的木质和劳丹脂，三者融合的非常滑顺，整体呈现的是一种装在精致木盒中的轻薄型高级皮件的氛围，因为辛香感而有些皮革的感受，不是厚重大型或旧型的皮件，而是轻薄精细的新品皮件的感觉，适合30以上正装男子秋冬使用，扩散侵略性中高但不扰人，持香10小时以上，展现沉著优雅的氛围。,木质调,姜心精华,檀香,劳丹脂,https://www.1976.com.tw/prod/23018,male,木质调,Bvlgari,100.0,44.95,88.5
Bvlgari Le Gemme Empyr 宝格丽光熠宝石男性淡香精行动香氛,1980.0,850.0,8ml 喷式,EMPYR首先透过专为宝格丽精选的强大新鲜姜心展现出来，并在核心香调中以檀香营造出绝对独特且令人难忘的对比。,木质调,姜心精华,檀香,劳丹脂,https://www.1976.com.tw/prod/23019,male,木质调,Bvlgari,8.0,57.07,106.25
Bvlgari 宝格丽黑茶中性古龙水迷你瓶(新款),1000.0,600.0,5ml 抹式(外盒略有瑕疵),虽然属于古龙水，刚开始闻的时候觉得很刺鼻，但随后的中后调却是让人著迷，广藿香融合乌木的香气，有种烟熏的木头味,木质花香调,大马士革玫瑰精华、佛手柑,玉兰花、玫瑰、云南滇红,广藿香、沉香木,https://www.1976.com.tw/prod/18703,male,木质调,Bvlgari,5.0,40.0,120.0
BVLGARI BLV 宝格丽蓝茶男性淡香水,4400.0,3600.0,100ml,真如诸位香友们说的，有资O堂蜂蜜香皂的皂香味。前味虽有豆蔻及生姜，但蓝茶的前味表现刚刚好，不会像有些男香令人感到呛鼻。非常适合白领阶级的男士，而且是不分老中青，就算女孩子使用也不突兀，毕竟它就是一款舒适清爽的柔和香调。再者虽然是EDT，但还挺持久的！,木质清新调,豆蔻、生姜,烟草花、银杏、杜松,麝香、檀香、柚木、雪松,https://www.1976.com.tw/prod/2531,male,清新调,Bottega Veneta,100.0,18.18,36.0
Calvin Klein CK be 中性淡香水,2600.0,820.0,100ml,第一次买香水，就买到自己喜欢的味道！看了心得分享后，再加上量多，比其他品牌便宜就买了，果然像其他买家说的一样，真的很好闻！真的像刚洗完澡一样，很香，不刺鼻，有种舒服柔软的感觉，大推！,柑橘清新调,杜松果、豆蔻果实、柑橘、薄荷、薰衣草,玉兰花、白桃、柑橘花、绿茶,白麝香、金合欢、薰草豆,https://www.1976.com.tw/prod/2544,male,清新调,Calvin Klein,100.0,68.46,8.2
Bvlgari Pour Homme 宝格丽大吉岭茶中性淡香水(2023) TESTER,4400.0,2290.0,100ml 原厂环保纸盒包装，有瓶盖 (2023),当初只看推荐就直接入了，果然没有让我失望，身边每个人都说很香，这款香水比较没有侵略性，淡淡的香气完全可以说是你的体香，完全就是男生刚洗澡完的味道，盲入这支真的不会失望,木质花香调,大吉岭茶、睡莲,愈创木、土耳其小豆蔻,透明琥珀、麝香,https://www.1976.com.tw/prod/20829,male,木质调,Bvlgari,100.0,47.95,22.9
Calvin Klein CK one shock 男性淡香水,2600.0,850.0,100ml,甜而不腻，秋冬或当夜香挺搭的! 持久度也是香精级的! 烟草+似香草的奶味联想到如同冬日走进一家具有质感的咖啡厅但又带有些许雅痞的感觉!,东方花香调,西班牙小柑橘、紫色薰衣草、小黄瓜,桂花、黑胡椒、荳蔻、黑罗勒,烟草、广藿香、琥珀、喀什米尔麝香,https://www.1976.com.tw/prod/9037,male,花香调,Calvin Klein,100.0,67.31,8.5
Bvlgari Man Glacial Essence 宝格丽极地冰峰男性淡香精,3925.0,2380.0,60ml,在我心目中是宝格丽man系列的No.1～春夏季穿上这支香气持久不厚重，非常舒服又高级的味道,木质清新调,杜松精油、生姜提取物、天竺葵精油,澳大利亚檀香精油、鸢尾凝脂、艾草精油,阿拉斯加雪松精油、CLEARWOOD®千龙木香、麝香,https://www.1976.com.tw/prod/18322,male,清新调,Bvlgari,60.0,39.36,39.67
Bvlgari Man Glacial Essence 宝格丽极地冰峰男性淡香精迷你瓶,780.0,380.0,5ml 抹式,前调硬朗，是非常有男子气概的味道，精油味很浓，喜欢精油的人会很喜欢，沉稳但不失活泼，硬要说的话就介于两者之间，个人觉得是蛮百搭的休闲香，中味没什么感觉，后味麝香开始出来，闻起来是舒服的，但有别于其他后味也是麝香的香水，他更多了一丝男人的气息，十分有个性。,木质清新调,杜松精油、生姜提取物、天竺葵精油,澳大利亚檀香精油、鸢尾凝脂、艾草精油,阿拉斯加雪松精油、CLEARWOOD®千龙木香、麝香,https://www.1976.com.tw/prod/18412,male,清新调,Bvlgari,5.0,51.28,76.0
Bvlgari Wood Essence 宝格丽城市森林男性淡香精,3925.0,2180.0,60ml,这款香水在初闻的时候会由稍甜的柑橘香气领衔，紧跟著背后地是淡雅的青草味，营造出轻柔又活力的城市氛围，经过约15分钟柑橘味变淡后，留下柔和的雪松与带甜的安息香，使整体变得平稳祥和，像清晨阳光透过行道树映照城市街道，带有生气又柔和地刚刚好。整体感觉上，三调变化层次分明，但与城市森林给我的壮阔绿意想像不同，实际表现较为柔美，不会有过份厚重的木质感，比较偏向清新草香与带甜的柑橘氛围，也让其实穿度提升不少。,草香清新调,义大利柑橘皮、芫荽,丝柏木、海地香根草,雪松木、龙涎香、逻罗安息香,https://www.1976.com.tw/prod/16213,male,清新调,Bvlgari,60.0,44.46,36.33
Calvin Klein CK Eternity 永恒男性淡香水,3200.0,1212.0,100ml,这款香水很像薰衣草味的香皂，甜甜的，干净又性感，前味有点刺鼻，后味回归木香的范畴。很适合上班用，感觉清晰干练，香味的持久力不错。,木质花香调,薰衣草、柠檬、佛手柑、柑橘,茉莉、罗勒、天竺、鼠尾草、杜松子、香菜、橙花、百合,檀香、香根草、麝香、花梨木、琥珀,https://www.1976.com.tw/prod/2545,male,木质调,Calvin Klein,100.0,62.12,12.12
Bvlgari Wood Essence 宝格丽城市森林男性淡香精 TESTER,5300.0,2399.0,100ml 原厂环保纸盒包装，内容与正货相同,森林!名符其实，第一次闻到这支香氛时，就像是踏入了翁翁郁郁的绿色森林之中，有著无数的草本植物，带来令人醒神的草本香气，越深入展现的就是高大乔木所散发出的清新木头香，很有安定心神的功效，而后就是那种陈年木头才能有的浓厚木质味~只能说宝格丽香氛真的很厉害。,木质调,义大利柑橘皮、芫荽,丝柏木、海地香根草,雪松木、龙涎香、逻罗安息香,https://www.1976.com.tw/prod/16378,male,木质调,Bvlgari,100.0,54.74,23.99
cK Eternity 永恒男性淡香水 TESTER,3200.0,1150.0,100ml 原厂环保纸盒包装，内容与正货相同,cK Eternity这支香水非常持久，一开始味道较为强烈，但过不久就转为舒服的香气较为沉稳，并且洗过澡后还是能闻到淡淡的味道，持久性真的很足够,木质花香调,薰衣草、柠檬、佛手柑、柑橘,茉莉、罗勒、天竺、鼠尾草、杜松子、香菜、橙花、百合,檀香、香根草、麝香、花梨木、琥珀,https://www.1976.com.tw/prod/3137,male,木质调,,100.0,64.06,11.5
BVLGARI 宝格丽城市森林男性淡香精迷你瓶,780.0,370.0,5ml 抹式,小香一样很有质感不马虎，微微的青草香伴著木质调，还真的有森林的感觉，有著沈稳内敛含蓄低调的迷人风采，不是高调诱人的艳香，好一个气质香！,木质调,义大利柑橘皮、芫荽,丝柏木、海地香根草,雪松木、龙涎香、逻罗安息香,https://www.1976.com.tw/prod/16214,male,木质调,Bottega Veneta,5.0,52.56,74.0
Bvlgari Man In Black 宝格丽当代真我男性淡香精,3925.0,2450.0,60ml,非常沈的一只香水，檀香味十分稳重，稳重中又带著十分勾人又神秘的调性，就是一只性感又神秘的香水，扩散度相当广，味道浓，室外约会大概2下，室内约会轻轻喷一下，脖子后面即可，不必上手腕，夜店三到四下，十分有魅力的一只香水，适合夜场合使用,东方花香调,天然莱姆酒,晚香玉、鸢尾草根、皮革,安息香、薰草豆、零陵香木,https://www.1976.com.tw/prod/12035,male,花香调,Bvlgari,60.0,37.58,40.83
Calvin Klein cK Eternity 永恒男性淡香精,4800.0,1699.0,内含淡香精100ml+行动香氛10ml (效期：2026.05),沈稳，凉凉的天竺葵，跟薰衣草的粉感，垫著木质的香味围绕在身上，因为是淡香精所以味道也很浓郁。,东方调,鼠尾草、臭氧、苹果,柏树、天竺葵、肉荳蔻、薰衣草,麂皮、龙涎香、鸢尾根、莎草,https://www.1976.com.tw/prod/17461,male,东方调,Calvin Klein,100.0,64.6,16.99
cK Eternity 永恒男性淡香精版本 TESTER,3050.0,1250.0,100ml 无纸盒包装，内容与正货相同,香味整体感高雅稳重，前味稍显清甜，仿佛漫步在阳光洒落的欧洲果园藤架下，伴随舒爽微风清新惬意。中味沈稳，同时保有前味清新气息，像在冷气房里依偎在男友的厚实胸膛上，被结实的臂膀环抱轻抚后背的舒适安全感。后味的辛辣调微甜，很像刚睡醒就闻到男友冲泡药草花果茶的香气，温和又使人精神微振，倚著男友肩膀啜饮草本精萃的放松疗愈感。适合雅痞、眼镜肌肉暖男或绮拉奈特莉那种优雅又有个性的女生使用～嗯，是男友香无误,东方调,鼠尾草、臭氧、苹果,柏树、天竺葵、肉荳蔻、薰衣草,麂皮、龙涎香、鸢尾根、莎草,https://www.1976.com.tw/prod/18085,male,东方调,,100.0,59.02,12.5
Bvlgari Aqva 宝格丽水能量男性淡香水,4400.0,2899.0,100ml,这款刚喷下去是大量海洋味带点柑橘跟凉意，像在海滩突然一阵风附近刚好有卖橘子的味道，接下来就是我最喜欢的中味及后味，木质调的出现让海味变成配角，成熟又men的味道带清爽，非常适合日常。,海洋清新调,香橙树叶、汁芽精油、蜜柑,角果澡、棉杉橘,琥珀木,https://www.1976.com.tw/prod/2538,male,清新调,Bvlgari,100.0,34.11,28.99
Calvin Klein cK Eternity Aromatic Essence 永恒馥奇男性淡香精,2700.0,1380.0,50ml,Calvin Klein 永恒系列全新上市永恒馥郁女性淡香精与永恒馥奇男性淡香精，延续永恒爱情故事，以馥郁、馥奇香气与独特的椰子精粹混合如感性的亲密接触，诠释完美的永恒香气。,东方清新调,杜松子,荳蔻、薰衣草,椰子,https://www.1976.com.tw/prod/22382,male,清新调,Calvin Klein,50.0,48.89,27.6
Calvin Klein CK Eternity AQUA 永恒之水男性淡香水,3200.0,1250.0,100ml,类似使用男性沐浴乳洗完澡的香味，味道带一点甜瓜 些许花香 水感清新，没有制式男性香水很浓的麝香或柑橘类味道，所以男女通用，如果您在寻找自然不做作的香水，记得请把这款列入收购清单。,草香清新调,冰冻小黄瓜、佛手柑鸡尾酒、水莲花、沾露绿叶,四川胡椒、黄香李、薰衣草、白雪松,檀香、零陵香木、广藿香、麝香,https://www.1976.com.tw/prod/7457,male,清新调,Calvin Klein,100.0,60.94,12.5
JOOP! Homme Le Parfum 男性香水,2800.0,1750.0,125ml,JOOP! Homme Le Parfum 瓶身的设计是半边圆柱型玻璃瓶身，沈装著透著如红酒般魅惑的紫红色香氛，圆弧形的设计让男人一手掌握，挡不住浓郁且充满原创性的自我气息！JOOP! Homme Le Parfum 男香，献给你举手投足的男子气概!!,木质东方调,薰衣草,鸢尾,果仁糖、香草、零陵香豆,https://www.1976.com.tw/prod/21520,male,木质调,,125.0,37.5,14.0
Calvin Klein CK Eternity AQUA 永恒之水男性淡香水 TESTER,3200.0,980.0,100ml 原厂环保纸盒包装，内容与正货相同,清爽的花草香调，刚开始以花香呈现，中后味转为青草的感觉，像是水草与青草的综合，有种水漾清新，持久度OK，蛮推荐的。,草香清新调,冰冻小黄瓜、佛手柑鸡尾酒、水莲花、沾露绿叶,四川胡椒、黄香李、薰衣草、白雪松,檀香、零陵香木、广藿香、麝香,https://www.1976.com.tw/prod/7511,male,清新调,Calvin Klein,100.0,69.38,9.8
cK Eternity Air 永恒纯净男性淡香水,3200.0,1150.0,100ml,前味海洋空气杜松带来夏日海风感，尔后苔藓广藿香紫罗兰叶青苹果混合后有些臭，不爱这搭配，后味龙涎香混海洋类似Jean Paul Gaultier Le Male In The Navy 水手男性淡香水。,东方清新调,清新空气、柑橘、杜松,薰衣草、青苹果、紫罗兰叶,青绿苔藓、广藿香、龙涎香,https://www.1976.com.tw/prod/15960,male,清新调,,100.0,64.06,11.5
